,category,predicted_category,text
20,ENVIRONMENT,name,overnight energy democrat push green infrastructure provision next coronavirus package coalition petition epa disclosure agency ok suspension environmental monitoring government weighs renting petroleum reserve space producer another chance go green democrat pushing next coronavirus package include litany green infrastructure provision defiance past gop rebuke mixing measure effort combat covid19 pandemicrep peter another chance go green democrat pushing next coronavirus package include litany green infrastructure provision defiance past gop rebuke mixing measure effort combat covid19 pandemicrep peter defazio 11999 char
21,GENERAL,name,ferrell snoop dogg appear psa urging californian stay home amid coronavirus ferrell snoop dogg urging californian stay home series coronavirusrelated video released gov gavin newsom one public service announcement psa released tuesday anchorman star ferrell tell ferrell snoop dogg urging californian stay home series coronavirusrelated video released gov gavin newsomgavin christopher newsomthe hill campaign report biden seek counter trump coronavirustrump approves disaster de 2283 char
22,POLITICS,name,holdout governor face pressure issue stayathome order holdout governor coming pressure take aggressive action coronavirus spread area country sweeping order tha holdout governor coming pressure take aggressive action coronavirus spread area country sweeping order resident stay home nonessential business close garnered attention number 6407 char
23,BUSINESS,name,senate democrat unveil 500 billion shortterm coronavirus relief plan senate democrat thursday unveiled detail 500 billion coronavirus relief plan offer later morning senate majority leader mitch mcconnell rky request unanimous consent provide senate democrat thursday unveiled detail 500 billion coronavirus relief plan offer later morning senate majority leader mitch mcconnelladdison mitch mitchell mcconnellmcconnell try pas small business fund thursda 4476 char
24,BUSINESS,name,lawmaker press irs get coronavirus check senior lawmaker tax policy expert advocate retiree outraged new irs guidance indicates senior need file tax return receive coronavirus checksthe 22 trillion coronavirus rel lawmaker tax policy expert advocate retiree outraged new irs guidance indicates senior need file tax return receive coronavirus checksthe 22 trillion coronavirus relief bill president trumpdonald john trumpil 8907 char
25,GENERAL,name,overnight health care state order resident stay home trump look sell public coronavirus response judge block ohio texas abortion ban dems eye infrastructure next relief bill welcome monday overnight health care state issuing stayathome order resident also governor holding tougher restriction facing pressure also abort welcome monday overnight health care state issuing stayathome order resident also governor holding tougher restriction facing pressure also abortion right group suing ensure 14308 char
26,ENVIRONMENT,name,overnight energy democrat push green measure next stimulus coalition petition epa tougher pollution disclosure rule trump meet oil executive friday another chance go green democrat pushing next coronavirus package include litany green infrastructure provision defiance past gop opposition mixing measure ef another chance go green democrat pushing next coronavirus package include litany green infrastructure provision defiance past gopoppositionto mixing measure effort combat covid19 pandemicrep peter defa 11729 char
27,GENERAL,name,covid19 tamil nadu notifies separate jail newcomer directorgeneral police prison sunil kumar singh said move prevent spread covid19 newcomer existing prisoner bid ensure prisoner already lodged prison across state contract covid19 fresh inmate tamil nadu prison department notified district jail subjails borstal school 37 citiesdistricts accommodate newcome 1240 char
28,GENERAL,name,five new positive case kurnool total go 82 let number covid19 positive case getting reported kurnool district saturday 8 number positive case went 77 82 five new case gettin let number covid19 positive case getting reported kurnool district saturday 8 number positive case went 77 82 five new case getting reporteddistrict collector g veerapandian saturday 958 char
29,GENERAL,name,55yearold sari dy covid19 report awaited 55yearold woman bantwal severe acute respiratory illness sari died government wenlock hospital sunday morningfollowing sari woman shifted hospital 55yearold woman bantwal severe acute respiratory illness sari died government wenlock hospital sunday morningfollowing sari woman shifted hospital undergoing treatment since wednesday throat 96 char
30,GENERAL,name,gautam navlakha hope speedy fair trial ahead surrender nia mr navlakha like activistacademic anand teltumbde charged unlawful activity prevention act uapa human right activist journalist gautam navlakha plan surrender national investigation agency nia tuesday alleged involvement bhimakoregao riot 2018 said hoped speedy fair trial 4347 char
31,BUSINESS,name,bjp mp release 1 crore mplads fund coronavirus relief party president jp nadda added party mp mlas donate one month salary towards well new delhi bjp president jp nadda saturday announced party mp release 1 crore annual development fund central relief fund fight covid19 pandemic tweet also said party mp mlas donate 521 char
32,GENERAL,name,mla test negative covid19 quarantine social stigma mla abdul hafeez khan mohammed tested negative covid19 friday announcement laboratory result mr hafeez khan written appeal people asked stop spreading rumour spread disease would crea 600 char
33,GENERAL,name,railway hire medical staff contract official bracing rush hospital indian railway apprehends enormous rush hospital soon decided hire service retired paramedical staff ministry railway decided hire doctor paramedical staff contract note general manager 1199 char
34,POLITICS,name,uscirf criticism religious segregation ahmedabad hospital based misguided report mea u commission expressed concern way india fighting coronavirus pandemic following medium report governmentrun hospital ahmedabad segregated infected patient basis religion india wednesday came hard u commission international religious freedom criticism country based misguided report covid19 patient hospital ahmedabad segregated basis religious identity 1139 char
35,SCIENCE,name,coronavirus covid19 10 time deadly swine flu say said safe effective vaccine would needed fully halt spread covid19 killed 114000 people worldwide novel coronavirus 10 time deadly swine flu also called h1n1 caused global pandemic 2009 world health organization said monday calling control measure lifted slowlywe know covid19 spread fast 549 char
36,GENERAL,name,doctor anantapur ggh get ppes n95 mask collector minister seek cooperation private healthcare professional district administration according top priority safety doctor treating suspect covid9 positive patient government general hospital collector gandham chandrudu saidpersonal protection equipment ppes n9 1647 char
37,GENERAL,name,contribution cm fund qualify csr expenditure discriminatory say yechury ministry commerce clarified contribution chief minister relief fund state relief fund qualify corporate social responsibility expenditure donation pm care fund willalso read congress quest 1737 char
38,GENERAL,name,move extending curfew yet punjab cm call would taken cabinet meeting april 10 punjab chief minister amarinder singh wednesday said decision taken yet extending curfew state beyond april 14 even state reported seven fresh case covid19the state government yet take decision 1382 char
39,TECH,name,calcutta hc directs police return doctor mobile phone seized facebook post put several message deficient protective gear supplied government observing freedom speech expression granted article 19 constitution scrupulously upheld state calcutta high court wednesday directed west bengal police return mobile phone sim card doct 1476 char
40,POLITICS,name,coronavirus semblance activity corridor minister bureaucrat return office point pm modis plan staggered exit national lockdown work home ended minister union council senior bureaucrat monday activity slowly returned hitherto deserted corridor power new delhifull coverage coronavirusministers seen work ministry 1703 char
41,TECH,name,online selfassessment test neuberg diagnostics private limited launched covid19 selfassessment test website httpsneubergdiagnosticscomcovid19selfassessmentindexhtml person need answer neuberg diagnostics private limited launched covid19 selfassessment test website httpsneubergdiagnosticscomcovid19selfassessmentindexhtml person need answer question know heshe need get touch 621 char
42,TECH,name,app chennaiites track everything covidrelated helpline number grocery delivery chennaibased shyam sundars covid19 help chennai app ideal goto information platform like u chennaibased shyam sundar also tracking covid19 crisis last couple month active twitter user curator licensee tedx napierbridge regularly sharing government medium update feed ca 2713 char
43,GENERAL,name,special officer take stock food supply special officer anticovid19 operation district karunakaran wednesday directed official ensure sufficient stock essential commodity meticulous speedy distribution special officer anticovid19 operation district karunakaran wednesday directed official ensure sufficient stock essential commodity meticulous speedy distribution beneficiariesdr karunakaran inspected ration shop 2177 char
44,TECH,name,dashboard launched share covid19 detail department revenue disaster management opened dashboard share official data regarding covid19 union territorypublic access dashboard website httpscovid19 department revenue disaster management opened dashboard share official data regarding covid19 union territorypublic access dashboard website httpscovid19dashboardpygovin get information related covid1 353 char
45,POLITICS,name,employer federation seek measure tide crisis employer federation southern india efsi made representation tamil nadu government seeking measure industry tide crisis account lockdown due covid19t employer federation southern india efsi made representation tamil nadu government seeking measure industry tide crisis account lockdown due covid19the federation requested state government exten 1973 char
46,GENERAL,name,lockdown may extended rising number covid19 case state including linked tabligh lockdown uttar pradesh may extended beyond april 14 senior government official said monday citing rising number covid19 positive case state including linked tablighi jamaatthe number case touched 30 1727 char
47,GENERAL,name,university hyderabad chosen covid19 testing centre university hyderabad uoh identified covid 19 testing centre city cluster identified department biotechnology dbt scale testing capacity covid19the h university hyderabad uoh identified covid 19 testing centre city cluster identified department biotechnology dbt scale testing capacity covid19the hyderabad cluster centre dna fingerprinting di 1972 char
48,SCIENCE,name,india tremendous capacity eradicating coronavirus pandemic india ended smallpox eradicated polio india led world eradicating two silent killer smallpox polio past tremendous capacity eradicating deadly coronoavirus pandemic claimed nearly 15000 life globally according top officialthe exe 2368 char
49,GENERAL,name,mahinda convenes allparty meet covid19 preparedness mp suggest reconvening house better coordination sri lankas parliament stand dissolved since early march prime minister mahinda rajapaksa convened allparty leader meeting tuesday discus government ongoing strategy combating covid19 affected 100 person far e 1722 char
50,GENERAL,name,eci take note south korea held poll amid coronavirus outbreak pandemic persists modification existing procedure might required ashok lavasa said election commission india eci taken note change made south korea procedure holding parliamentary poll amid coronavirus outbreak said consider modification required suited indian context whereve 2764 char
51,POLITICS,name,dk district administration face hard time conducting last rite covid19 deceased woman large number people oppose cremation mangaluru police shift body bantwal dakshina kannada district administration face hard time conducting last rite woman died covid19 mangaluru thursday people opposed cremation planned crematorium city finally cremated 2824 char
52,SCIENCE,name,health ministry allows hydroxychloroquine azithromycin covid19 health ministry noted specific antiviral proven effective per currently available data union health ministry allowed use hydroxychloroquine combination azithromycin close monitoring patient severe disease requiring icu management per revised guideline clinical management covid19hydroxy 1771 char
53,GENERAL,name,testing tracing isolating quarantine first priority pm modi tell cm via video conference prime minister narendra modi wanted state appoint districtlevel disease surveillance officer prime minister narendra modi thursday held second video conference chief minister state union territory urged collective goal country every indian must saved covid19 pandemic 3155 char
54,GENERAL,name,disinfection two hospital tenkasias father woman court employee puliyangudi tested positive covid19 visited private hospital sankarankovil puliyangudi government hospital treatment disinf tenkasias father woman court employee puliyangudi tested positive covid19 visited private hospital sankarankovil puliyangudi government hospital treatment disinfection place commenced wednesdayeven tw 1005 char
55,BUSINESS,name,rahul gandhi call idea possible msme stimulus package covid19 devastated sector say social medium former congress president rahul gandhi called idea possible stimulus package medium small micro enterprise msme sector social medium covid19 devastated micro small amp medium business msme congress party 452 char
56,POLITICS,name,opposition welcome omars release free mehbooba mufti others say tharoor yechury call full access internet jk opposition party welcomed release national conference leader omar abdullah eight month detention also called release political leader including mehbooba mufti people democratic party though 1521 char
57,SCIENCE,name,welcome joint effort india fight covid19 world health body want leverage strategy helped country eradicate polio fight pandemic world health organization chief tedros adhanom ghebreyesus welcomed world health body cooperation india leverage strategy helped country win war polio response covid19 outbreak saying joint 3650 char
58,POLITICS,name,coronavirus india reject imran khan allegation discrimination muslim tweet mr khan accused indian government deliberately targeting muslim community backdrop coronavirus crisis india sunday trashed pakistan prime minister imran khan comment alleging targeting muslim country backdrop coronavirus pandemic external affair ministry spokesperson anurag srivastava said bizarre comment pakistan 799 char
59,SCIENCE,name,covid19 deepika padukone discus mental health chief aim prioritise mental health coronavirus pandemic bollywood star deepika padukone directorgeneral tedros adhanom gheb aim prioritise mental health coronavirus pandemic bollywood star deepika padukone directorgeneral tedros adhanom ghebreyesus engage discussion actor announced sundaycoronavirus india lockdown day 26 update 567 char
60,BUSINESS,name,noc must industry operate lockdown industry register giving basic information employee detail fill check list seeking permission restart operation industry department announced industry industrial establishment want operate lockdown subject adopting standard operating procedure social distancing norm obtain noobjection certificate noc fo 654 char
61,GENERAL,name,coronavirus 52yearold man becomes assam first reported case third detected case northeast 23yearold woman manipur imphal 50yearold man mizorams aizawl 52yearold man southern assam barak valley tested positive covid19 state health minister himanta biswa sarma said tuesday first case assam third northeast 23yearold woman manip 605 char
62,GENERAL,name,bhel shop worker design disinfectant sprayer hand ranipet collector office worker designed device within short span day ranipet unit giant public sector undertaking bhel developed spraying equipment named bhelmister disinfecting public placesstarting work initiative wednesday 20 employee including 14 artisan shop e 658 char
63,BUSINESS,name,stock next six month collector tell trader calling upon trader stock essential commodity last next six month collector shilpa prabhakar satish saturday said district administration would extend possible help th calling upon trader stock essential commodity last next six month collector shilpa prabhakar satish saturday said district administration would extend possible help exerciseaddressing meeting private medical practi 2171 char
64,GENERAL,name,covid19 stay indoors avoid crowding say collector effort prevent crowding customer market time ensure essential commodity accessible resident wake outbreak covid19 pandemic resident must restrict coming outdoors avoid visiting crowded place said collector tg vinay saturdaythe collector along corporation commissioner visakan inspected th 1236 char
65,GENERAL,name,covid19 railway manufacture personal protective garment railway board said huge requirement ppe garment country productionmaintenance infrastructure railway could used converting coach isolationquarantine facility indian railway decided manufacture personal protective equipment ppe garment medical professional service personnel caregiver involved battling covid19 944 char
66,SCIENCE,name,novel coronavirus transmitted even symptom show existence presymptomatic asymptomatic transmission make contact tracing challenging study seven cluster singapore vernon j lee others ministry health singapore provides evidence virus transmission others resulting infection happen one three day person show symptom 3066 char
67,BUSINESS,name,production kia motor india plant come halt lockdown order essential service procedure cannot stopped run skeleton staff following lockdown order issued state government view covid19 production kia motor india car manufacturing unit came standstill monday essential servicesprocedures cannot stopped run skeleton 994 char
68,BUSINESS,name,business live nifty sensex open significant loss update world economy market finance policy pandemicsthe world cowering covid19 threat let take look insurance cover available get infectedthe first question come mind hospitalisation policy pay covid19related hospi 845 char
69,GENERAL,name,marvel release black widow digitally say david harbour actor also said pandemic delayed release stranger thing season four stranger thing star david harbour suggested marvel studio release upcoming film black widow online amid coronavirus pandemic starring scarlett johansson title role film scheduled released may 1 post 935 char
70,GENERAL,name,40yearold man isolation ward dy police monitor lockdown violator drone nagercoila 40yearold man returned kuwait recently admitted isolation ward kanniyakumari district government medical college hospital asaripallam died thursdaysources hospital said deceased 1028 char
71,GENERAL,name,notice issued mamidyala resident lockdown respond allowed move ask oustees even entire state focusing facing threat covid19 resident mamidyala mulugu mandal facing problem served notice sunday night asked respond within seven day however notice w 1233 char
72,BUSINESS,name,tamil nadu governor allocates fund fight covid19 governor allocated 1 crore prime minister citizen assistance relief emergency situation fund tamil nadu chief minister public relief fund governor discretionary grant tamil nadu governor banwarilal purohit allocated 1 crore prime minister citizen assistance relief emergency situation fund pmcares fund tamil nadu chief minister public relief fund cmprf governor discretionary gran 871 char
73,GENERAL,name,volunteer aid civic body disbursing relief district collector sandeep nanduri informed 1500 volunteer involved disbursal covid19 relief doorstep senior citizen physically challenged also district collector sandeep nanduri informed 1500 volunteer involved disbursal covid19 relief doorstep senior citizen physically challenged also home quarantine speaking reporter fri 1007 char
74,GENERAL,name,exclude u covid19 meet owaisi insult people hyd aurangabad india majliseittehadul muslimeen president asaduddin owaisi sunday questioned party exclusion prime minister covid19 video conference parliamentarian termed tauheen insult people hyderabad aurangaba 973 char
75,TECH,name,facebook add care emoji button care reaction set launched globally main facebook app messenger next week placed alongside like button covid19 time facebook friday announced expand like reaction user post care emoji buttonthe care reaction set launched globally main facebook app messenger next week placed alongside like b 734 char
76,GENERAL,name,coronavirus iranreturned indian shifted delhi jodhpur indigo spicejet aircraft spicejet indigo aircraft took 275 indian evacuated iran jodhpur delhi sunday civil aviation minister hardeep singh puri saidindia 21day lockdown till april 14 cur spicejet indigo aircraft took 275 indian evacuated iran jodhpur delhi sunday civil aviation minister hardeep singh puri saidindia 21day lockdown till april 14 curb spread coronavirus consequently int 837 char
77,TECH,name,become corona warrior help spread credible info move aimed combating fake news rumour covid19 especially social medium platform karnataka government come idea roping corona warrior group volunteer bid contain spread fake news false propaganda rumour covid19 case far reported continuation ela 884 char
78,SCIENCE,name,person hiv viral infection take precaution novel coronavirus sars cov2 cause covid19 infects every one including person hiv viral infection hepatitis b hepatitis c today effective novel coronavirus sars cov2 cause covid19 infects every one including person hiv viral infection hepatitis b hepatitis c today effective antiretroviral therapy art suppress hiv thereby pe 3384 char
79,TECH,name,conspiracy theorist burn 5g tower claiming link coronavirus 50 fire targeting cell tower equipment reported britain month 16 torched netherlands attack also reported ireland cyprus belgium cctv footage dutch business park show man black cap pouring content white container base cellular radio tower flame burst man jog back toyota flee eveningits scene thats repea 4999 char
80,TECH,name,google roll indiaspecific website covid19 contains helpline number content symptom protective measure known treatment latest global indian statistic google tuesday rolled indiaspecific website coronavirus delivers comprehensive information pandemic stay productive timethe website wwwgooglecoincovid19 contains information key helpline numb 2000 char
81,GENERAL,name,five new covid19 case cuddalore total touch 13 five person cuddalore district tested positive covid19 sunday number person affected viral disease climbed 13 district retu five person cuddalore district tested positive covid19 sunday number person affected viral disease climbed 13 district returned cuddalore attending tablighi jamaat confe 761 char
82,ENVIRONMENT,name,stringed tribute earth sarod artiste soumik datta released single tiger tiger occasion earth day occasion earth day april 22 sarod artiste soumik datta earlier collaborated international pop star like beyonce jayz nitin sawhney talvin singh anoushka shankar released new single tiger tiger new single c 1765 char
83,GENERAL,name,indian railway apprehend enormous rush hospital soon indian railway largest employer country wide network multispeciality hospital indian railway apprehend enormous rush hospital soon decided hire service retired paramedical staffin note general manager zonal railway production unit railway board saturday said keeping v 1518 char
84,GENERAL,name,elgaar parishad case varavara rao shoma sen refused bail two senior social activist p varavara rao 80 shoma sen 61 accused elgaar parishad case refused bail special court set try case unlawful activity prevent two senior social activist p varavara rao 80 shoma sen 61 accused elgaar parishad case refused bail special court set try case unlawful activity prevention act uapa tuesday two sought interim bail 1669 char
85,GENERAL,name,game throne actor kristofer hivju recovers coronavirus good health actor took instagram share health update saying wife gry finally free symptom actor kristofer hivju shot global fame playing tormund giantsbane blockbuster series game throne fully recovered good health battling covid19the actor took instagram share health update saying wif 1278 char
86,GENERAL,name,dark knight rise alien actor jay benedict succumbs covid19 benedict 68 best known playing rus jordan james camerons 1986 release alien alien dark knight rise actor jay benedict tragically passed away suffering complication coronavirus 68his official website announced profound sorrow must announce jay death 4th april due 1727 char
87,TECH,name,ban highspeed internet mobile extended till april 3 jk govt decision despite party civil society group demanding restoration 4g jampk administration thursday decided continue ban highspeed internet mobile phone user jampk despite request political party civil society group restore wake covid19 crisisthe ja 1552 char
88,GENERAL,name,madurai city police set control room help resident lockdown order essential item placed phone good would home delivered say commissioner police madurai city police set control room cater urgent need city resident lockdown periodpeople call 0452 253 1044 253 1045 type help commissioner police davidson devasirvatham said objecti 1557 char
89,GENERAL,name,sample lifted 70 highrisk contact closely associated 17 covid positive patient sample 70 highrisk contact closely associated 17 covid19 positive case district lifted analysis 158 lowrisk contact put home quarantine collector sandeep nanduri said thursday speaki 1683 char
90,BUSINESS,name,lata mangeshkar priyanka chopra vicky kaushal pledge donation coronavirus fund katrina kaif alia bhatt among star contribute pmcares chief minister relief fund legendary singer lata mangeshkar actor priyanka chopra alia bhatt vicky kaushal among others tuesday pledged money various relief fund aimed combating coronavirus pandemic countrywhether cash kind personalitie 4153 char
91,BUSINESS,name,congress question setting pm care fund deal cornonavirus new fund prime minister national relief fund already existence party leader congress leader monday questioned setting pm care fund deal cornonavirus pandemic prime minister narendra modi prime minister national relief fund pmnrf already existencealso read pitch pm modi tell 1881 char
92,GENERAL,name,marvel film star evangeline lilly apologises insensitive comment coronavirus fear antman wasp star severely criticised social medium many including sophie turner maggie grace antman wasp actor evangeline lilly tendered apology dismissive arrogant statement social distancing wake coronavirus pandemicthe marvel film star severely criticised social many including game thro 2147 char
93,GENERAL,name,one patient dy five test positive kurnool testing begin truenat machine four place district one covid19 positive person died five new case reported since 11 saturday taking total number case 129 districtthe number dead gone three various hospital 125 positive person still treated 2065 char
94,GENERAL,name,covid19 18 mobile sample collection centre launched anantapur majority ggh house surgeon test negative ramping capacity proper collection sample ananatpur district administration launched 18 mobile collection centre going round various mandals red zone potential danger zone according district collector gandham chand 1840 char
95,GENERAL,name,indian peacekeeper continue provide humanitarian healthcare assistance amidst covid19 threat unmiss continues assisting local community across southsudan despite challenge covid19 peacekeeper india repaired major intersection month enabling people region malakal 2 resume road travel 2 major indian peacekeeper serving un mission across world continue provide essential humanitarian healthcare assistance local community notwithstanding threat posed coronavirus pandemic indian peacekeeper un missi 3008 char
96,SCIENCE,name,new indigenous kit may soon accelerate testing speed process 15 time cut cost twothirds research laboratory funded department science technology developed rapid diagnostic test potentially speed testing batch suspected covid19 sample 15 time cut cost twothirdsthe chitra genelampn 3239 char
97,TECH,name,contain spread coronavirus misinformation list factchecking platform world health organisation called misinformation covid19 outbreak infodemic last week shortly honourable prime minister narendra modi asked country applaud work medical practitioner helper covid19 outbreak several whatsapp forward circulatedlike oneand one 3234 char
98,GENERAL,name,help weaver artisan lockdown handloom enterprise helping artisan cope covid lockdown week ago hyderabadbased abhihaara social enterprise gearing participate delhi craft council kairi exhibition set begin march 19 like event across city cancelled due covid19 sudha rani mulla 3553 char
99,GENERAL,name,age cannot wither fortitude poise selfisolation social distancing new concept increasingly ageist society restriction movement public place ongoing nationwide lockdown testing th selfisolation social distancing new concept increasingly ageist society restriction movement public place ongoing nationwide lockdown testing strength social network offline kind nurtu 2695 char
100,GENERAL,name,srk priyanka chopra part lady gagas one world concert raise fund covid19 pandemic starstudded virtual live event also feature artiste elton john paul mccartney billie eilish among others bollywood superstar shah rukh khan priyanka chopra part global citizen world health organisation starstudded one world together home live virtual event raise fund fight covid19 pandemic curated 3602 char
101,GENERAL,name,actor purab kohli say family diagnosed coronavirus rock star wife lucy child inaya osian recovering covid19 symptom london rock actor purab kohli london took instagram reveal today family diagnosed novel coronavirus taking measure stay safethe bollywood star former vj wrote lengthy post whi 2259 char
102,BUSINESS,name,coronavirus lockdown congress seek financial aid state govts rahul asks govt scale testing rather lighting lamp congress saturday said union government empower state government announcing special economic package 1 lakh crore release r 42000 crore due compensation good service tax gst urged reserve 3430 char
103,SCIENCE,name,covid19 testing laboratory start functioning anantapur set anantapur government medical college become regional hub rayalaseema anantapur centre people foreign travel history waiting time result throat swab covid19 suspect drastically come andhra pradesh thanks testing centre one four state set indian council medical research icmr began functioning 2745 char
104,GENERAL,name,report nba player owner want salvage 201920 season matter nba player owner focused concluding 201920 season action eventually resume across league according espns ramona shelburne abbie parrgetty imagesboth nba player owner focused concluding 201920 season action eventually resume across league according espns ramona shelburneshelburne said monday outside line thatno matter w 496 char
105,POLITICS,name,new parliament design take week due lockdown trying address mp concern like absence separate central hall say architect design new parliament building centre hoping complete august 2022 could delayed week country remains lockdown according sourcesthe union housing urban affair ministry construction agency 3098 char
106,SCIENCE,name,mental health expert say four health professional coping stress covid19 resource use bhairavi prakash founder mithra trustpeople reaching u instagram help highlight reel covid19 tip offer resource update regularly weve also discussion several topic like productive learning 3264 char
