,source,author,title,description,url,urlToImage,publishedAt,content,category
name,The Hill,Rebecca Klar,Gottlieb: 'Let's not have to say in the fall we wish we'd done more in the spring',"Former FDA Commissioner Scott Gottlieb said officials should have an immediate focus on developing a drug to treat the coronavirus or they risk wishing more had been done. ""If we'd taken certain...",https://thehill.com/policy/healthcare/491249-gottlieb-lets-not-have-to-say-in-the-fall-we-wish-wed-done-more-in-the,https://thehill.com/sites/default/files/gottliebscott_032819sr_lead.jpg,2020-04-05T19:13:38Z,"Former FDA Commissioner Scott Gottlieb said officials should have an immediate focus on developing a drug to treat the coronavirus or they risk wishing more had been done. 
If we'd taken certain steps in winter - and recognized #coronavirus had characteristi… [+1949 chars]",SCIENCE
name,The Hill,Zack Budryk,"India, Thailand, Germany warn of punishment for coronavirus misinformation on April Fool's Day","Several nations, including Thailand, Germany and India, have warned against spreading coronavirus-related misinformation on April Fool's Day, with some countries threatening jail time for perpetrators.",https://thehill.com/policy/international/india/490403-india-thailand-germany-warn-of-punishment-for-coronavirus,https://thehill.com/sites/default/files/handcuffs.jpg,2020-03-31T17:50:14Z,"Several nations, including Thailand, Germany and India, have warned against spreading coronavirus-related misinformation on April Fools Day, with some countries threatening jail time for perpetrators.
Thai officials announced Tuesday that such jokes could ca… [+2182 chars]",GENERAL
name,The Hill,Morgan Gstalter,Kathy Griffin says Trump 'lying' about coronavirus testing because she can't get tested,"Comedian Kathy Griffin on Wednesday accused President Trump of lying about the accessibility of coronavirus tests, saying she couldn't get tested at a hospital because of federal restrictions despite showing ""u...",https://thehill.com/blogs/in-the-know/in-the-know/489699-kathy-griffin-says-trump-lying-about-coronavirus-testing,https://thehill.com/sites/default/files/griffinkathy_getty.jpg,2020-03-26T18:43:40Z,"Comedian Kathy Griffin on Wednesday accused President TrumpDonald John TrumpNorth Korea asking for aid, while denying any coronavirus cases: reportIranian official maintains Tehran has 'no knowledge' of American hostage's whereaboutsUnemployment claims surge … [+2249 chars]",POLITICS
name,The Hill,jbowden@thehill.com (John Bowden),'Probable' coronavirus deaths now included in CDC totals,"The Centers for Disease Control and Prevention (CDC) announced this week that it would begin including ""probable"" cases of the coronavirus in its count of the disease's cases in the U.S.Citing a statement by the Council for State and...",https://thehill.com/homenews/administration/493086-probable-coronavirus-deaths-now-included-in-cdc-totals,https://thehill.com/sites/default/files/ca_cdccoronaviruscases_030420getty.jpg,2020-04-16T12:07:02Z,"The Centers for Disease Control and Prevention (CDC) announced this week that it would begin including ""probable"" cases of the coronavirus in its count of the disease's cases in the U.S.
Citing a statement by the Council for State and Territorial Epidemiolog… [+1445 chars]",SCIENCE
name,The Hill,Morgan Gstalter,"Actress Evangeline Lilly apologizes for 'dismissive, arrogant' coronavirus message after refusing self-isolation","Actress Evangeline Lilly apologized for what she called the ""insensitivity"" she showed earlier this month by initially refusing to self-quarantine during the ongoing coronavirus pandemic, saying she is now doin...",https://thehill.com/blogs/in-the-know/in-the-know/489803-actress-evangeline-lilly-apologizes-for-dismissive-arrogant,https://thehill.com/sites/default/files/lillyevangeline_getty03272020.jpg,2020-03-27T12:31:53Z,"Actress Evangeline Lilly apologized for what she called the insensitivity she showed earlier this month by initially refusing to self-quarantine during the ongoing coronavirus pandemic, saying she is now doing her part to flatten the curve"" by practicing soci… [+2605 chars]",GENERAL
name,The Hill,Rebecca Kheel,Four coalition troops in Afghanistan test positive for coronavirus,"Four troops in the U.S.-led NATO coalition in Afghanistan have tested positive for coronavirus, officials announced Tuesday, marking the first confirmed cases among service members in the war-torn country.Resolute...",https://thehill.com/policy/defense/489197-four-coalition-troops-in-afghanistan-test-positive-for-coronavirus,https://thehill.com/sites/default/files/afghanistan_army_060619getty_lead.jpg,2020-03-24T14:26:19Z,"Four troops in the U.S.-led NATO coalition in Afghanistan have tested positive for coronavirus, officials announced Tuesday, marking the first confirmed cases among service members in the war-torn country.
Resolute Support did not identify the nationalities … [+3325 chars]",GENERAL
name,The Hill,Aris Folley,Florida sheriff asks for new leads in disappearance of Carole Baskin's former husband after Netflix's 'Tiger King' drops,"A sheriff from Hillsborough County, Florida, is asking the public for leads into the 1997 disappearance of millionaire Don Lewis, the former husband of Carole Baskin, after the popular ""Tiger King"" docuseries on Netflix p...",https://thehill.com/blogs/in-the-know/in-the-know/490238-florida-sheriff-asks-for-new-leads-in-disappearance-of-carole,https://thehill.com/sites/default/files/baskincarole_bigcatrescue.jpg,2020-03-30T21:03:22Z,"A sheriff from Hillsborough County, Florida, is asking the public for leads into the 1997 disappearance of millionaire Don Lewis, the former husband of Carole Baskin, after the popular Tiger King docuseries on Netflix prompted questions online about the cold … [+3667 chars]",GENERAL
name,The Hill,Rebecca Beitsch,Coalition petitions EPA for disclosure as agency OKs suspension of environmental monitoring,A coalition of environmental groups is petitioning the Environmental Protection Agency (EPA) for more stringent disclosure following a memo from the agency that allows companies to suspend monitoring for pollution d...,https://thehill.com/policy/energy-environment/490583-coalition-petitions-epa-for-disclosure-as-agency-oks-suspension-of,https://thehill.com/sites/default/files/article_images/emissions_airpollution_052814getty_1.jpg,2020-04-01T16:08:58Z,"A coalition of environmental groups is petitioning the Environmental Protection Agency (EPA) for more stringent disclosure following a memo from the agency that allows companies to suspend monitoring for pollution during the pandemic. 
A directive issued by … [+3351 chars]",BUSINESS
name,The Hill,Zack Budryk,Nearly 80 airlines cut capacity by 100 percent over coronavirus,"A majority of airlines worldwide have cut capacity by 100 percent as a result of the coronavirus shutting down travel and grounding most flights.Of the 153 carriers, 78 have announced capacity cuts of 100 percent....",https://thehill.com/policy/transportation/489259-nearly-80-airlines-cut-capacity-100-percent-over-coronavirus,https://thehill.com/sites/default/files/article_images/airplane_airport_travel_getty.jpg,2020-03-24T18:09:58Z,"A majority of airlines worldwide have cut capacity by 100 percent as a result of the coronavirus shutting down travel and grounding most flights.
Of the 153 carriers, 78 have announced capacity cuts of 100 percent. Additionally, almost 85 percent of airlines… [+3394 chars]",BUSINESS
name,The Hill,Aris Folley,New bill would withhold pay from Senate until coronavirus stimulus package passes,"Sen. Martha McSally (R-Ariz.) has introduced legislation that would withhold pay from all Senate members until the chamber passes a coronavirus stimulus package in response to national outbreak.""If Americans aren't...",https://thehill.com/homenews/senate/489347-new-bill-would-withhold-pay-from-senate-until-a-coronavirus-stimulus-package,https://thehill.com/sites/default/files/mcsallymartha_050719gn2_lead.jpg,2020-03-24T23:13:23Z,Sen. Martha McSallyMartha Elizabeth McSallySenate GOP super PAC books more than million in fall adsPolitics and the pandemic Republicans are rightly worriedNRSC outraises DSCC in FebruaryMORE (R-Ariz.) has introduced legislation that would withhold pay from a… [+2378 chars],BUSINESS
name,The Hill,rbeitsch@thehill.com (Rebecca Beitsch),OVERNIGHT ENERGY: Democrats push for green infrastructure provisions in next coronavirus package| Coalition petitions EPA for disclosure as agency OKs suspension of environmental monitoring| Government weighs renting petroleum reserve space to producers:,ANOTHER CHANCE TO GO GREEN? Democrats are pushing for the next coronavirus package to include a litany of green infrastructure provisions in defiance of past GOP rebukes of mixing such measures with efforts to combat the COVID-19 pandemic.Rep. Peter...,https://thehill.com/policy/energy-environment/490700-overnight-energy-democrats-push-for-green-infrastructure-provisions,https://thehill.com/sites/default/files/pmview_infrastructure_thinkstock.jpg,2020-04-01T22:09:48Z,"ANOTHER CHANCE TO GO GREEN? Democrats are pushing for the next coronavirus package to include a litany of green infrastructure provisions in defiance of past GOP rebukes of mixing such measures with efforts to combat the COVID-19 pandemic.
Rep. Peter DeFazio… [+11999 chars]",ENVIRONMENT
name,The Hill,tlejeune@thehill.com (Judy Kurtz),"Will Ferrell, Snoop Dogg appear in PSAs urging Californians to stay home amid coronavirus","Will Ferrell and Snoop Dogg are urging Californians to ""stay home"" in a series of coronavirus-related videos released by Gov. Gavin Newsom (D). In one of the public service announcements (PSA) released Tuesday, ""Anchorman"" star Ferrell tells...",https://thehill.com/blogs/in-the-know/in-the-know/489260-will-ferrell-snoop-dogg-appear-in-psas-urging-californians-to,https://thehill.com/sites/default/files/ferrellwill_03242020twitter.jpg,2020-03-24T17:51:05Z,"Will Ferrell and Snoop Dogg are urging Californians to ""stay home"" in a series of coronavirus-related videos released by Gov. Gavin NewsomGavin Christopher NewsomThe Hill's Campaign Report: Biden seeks to counter Trump on coronavirusTrump approves disaster de… [+2283 chars]",GENERAL
name,The Hill,Peter Sullivan,Holdout governors face pressure to issue stay-at-home orders,Holdout governors are coming under pressure to take more aggressive action as the coronavirus spreads to more areas of the country. Sweeping orders tha...,https://thehill.com/homenews/state-watch/490279-holdout-governors-face-pressure-to-issue-stay-at-home-orders,https://thehill.com/sites/default/files/desantisron_033020getty_lead.jpg,2020-03-31T00:32:27Z,"Holdout governors are coming under pressure to take more aggressive action as the coronavirus spreads to more areas of the country. 
Sweeping orders that residents stay at home and that nonessential businesses close have garnered attention, but a number of s… [+6407 chars]",POLITICS
name,The Hill,Alexander Bolton,Senate Democrats unveil $500 billion short-term coronavirus relief plan,Senate Democrats on Thursday unveiled the details of a $500 billion coronavirus relief plan they will offer later in the morning when Senate Majority Leader Mitch McConnell (R-Ky.) requests unanimous consent to provide an...,https://thehill.com/homenews/senate/491963-senate-democrats-unveil-500-billion-short-term-coronavirus-relief-plan,https://thehill.com/sites/default/files/schumercharles_031020bc3_lead.jpg,2020-04-09T13:51:51Z,Senate Democrats on Thursday unveiled the details of a $500 billion coronavirus relief plan they will offer later in the morning when Senate Majority Leader Mitch McConnellAddison (Mitch) Mitchell McConnellMcConnell to try to pass small business funds Thursda… [+4476 chars],BUSINESS
name,The Hill,Naomi Jagoda,Lawmakers press IRS to get coronavirus checks to seniors,"Lawmakers, tax policy experts and advocates for retirees are outraged over new IRS guidance that indicates seniors will need to file tax returns to receive their coronavirus checks.The $2.2 trillion coronavirus rel...",https://thehill.com/policy/finance/490686-lawmakers-press-irs-to-get-coronavirus-checks-to-seniors,https://thehill.com/sites/default/files/hassanmaggie_101018sr_lead.jpg,2020-04-01T21:23:50Z,"Lawmakers, tax policy experts and advocates for retirees are outraged over new IRS guidance that indicates seniors will need to file tax returns to receive their coronavirus checks.
The $2.2 trillion coronavirus relief bill President TrumpDonald John TrumpIl… [+8907 chars]",BUSINESS
name,The Hill,"Jessie Hellmann, Peter Sullivan and Nathaniel Weixel","Overnight Health Care: More states order residents to stay at home | Trump looks to sell public on coronavirus response | Judges block Ohio, Texas abortion bans | Dems eye infrastructure in next relief bill","Welcome to Monday's Overnight Health Care. More states are issuing stay-at-home orders for their residents. But there are also governors who are holding out on tougher restrictions and who are facing pressure. Also, abort...",https://thehill.com/policy/healthcare/overnights/490274-overnight-health-care-maryland-virginia-dc-issue-stay-at-home,https://thehill.com/sites/default/files/coronavirus_healthorder_031820getty.jpg,2020-03-31T00:13:07Z,"Welcome to Monday's Overnight Health Care. More states are issuing stay-at-home orders for their residents. But there are also governors who are holding out on tougher restrictions and who are facing pressure. Also, abortion rights groups are suing to ensure … [+14308 chars]",GENERAL
name,The Hill,Rebecca Beitsch,Overnight Energy: Democrats push green measures in next stimulus | Coalition petitions EPA for tougher pollution disclosure rules | Trump to meet oil executives Friday,ANOTHER CHANCE TO GO GREEN? Democrats are pushing for the next coronavirus package to include a litany of green infrastructure provisions in defiance of past GOP opposition to mixing such measures with ef...,https://thehill.com/policy/energy-environment/overnights/490700-overnight-energy-democrats-push-for-green-infrastructure-provisions,https://thehill.com/sites/default/files/article_images/infrastructurebridgehighway_051917getty.jpg,2020-04-01T22:09:48Z,"ANOTHER CHANCE TO GO GREEN? Democrats are pushing for the next coronavirus package to include a litany of green infrastructure provisions in defiance of past GOP opposition to mixing such measures with efforts to combat the COVID-19 pandemic.
Rep. Peter DeFa… [+11729 chars]",ENVIRONMENT
name,The Hindu,S. Vijay Kumar,COVID19: Tamil Nadu notifies separate jails for newcomers,Director-General of Police (Prisons) Sunil Kumar Singh said that the move was to prevent the spread of COVID-19 from any newcomer to the existing prisoners,https://www.thehindu.com/news/national/tamil-nadu/covid19-tamil-nadu-notifies-separate-jails-for-newcomers/article31247937.ece,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,2020-04-03T10:47:34Z,"In a bid to ensure that prisoners already lodged in prisons across the State do not contract COVID-19 from fresh inmates, the Tamil Nadu Prison Department has notified District Jails, Sub-Jails and Borstal schools at 37 cities/districts to accommodate newcome… [+1240 chars]",GENERAL
name,The Hindu,Ramesh Susarla,"Five new positive cases in Kurnool, total goes to 82","There is no let up in the number of COVID19 positive cases getting reported in Kurnool district and on Saturday at 8 a.m., the number of positive cases went up from 77 to 82 with five new cases gettin",https://www.thehindu.com/news/national/andhra-pradesh/five-new-positive-cases-in-kurnool-total-goes-to-82/article31315295.ece,https://www.thehindu.com/news/national/andhra-pradesh/jpuu86/article31315294.ece/ALTERNATES/LANDSCAPE_615/KURNOOL-PREGNANT1,2020-04-11T05:26:07Z,"There is no let up in the number of COVID19 positive cases getting reported in Kurnool district and on Saturday at 8 a.m., the number of positive cases went up from 77 to 82 with five new cases getting reported.
District Collector G. Veerapandian on Saturday… [+958 chars]",GENERAL
name,The Hindu,Special Correspondent,"55-year-old with SARI dies, COVID-19 reports awaited","A 55-year-old woman from Bantwal with Severe Acute Respiratory Illness (SARI) died at the Government Wenlock Hospital here on Sunday morning.Following SARI, the woman was shifted to the hospital where",https://www.thehindu.com/news/national/karnataka/55-year-old-with-sari-dies-covid-19-reports-awaited/article31381460.ece,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,2020-04-19T10:51:17Z,"A 55-year-old woman from Bantwal with Severe Acute Respiratory Illness (SARI) died at the Government Wenlock Hospital here on Sunday morning.
Following SARI, the woman was shifted to the hospital where she was undergoing treatment since Wednesday. Her throat… [+96 chars]",GENERAL
name,The Hindu,Special Correspondent,"Gautam Navlakha hopes for speedy, fair trial ahead of surrender to NIA","Mr. Navlakha, like activist-academic Anand Teltumbde, has been charged under the Unlawful Activities (Prevention) Act (UAPA).",https://www.thehindu.com/news/national/gautam-navlakha-hopes-for-speedy-fair-trial-ahead-of-surrender-to-nia/article31336241.ece,https://www.thehindu.com/news/national/other-states/glto7v/article29549119.ece/ALTERNATES/LANDSCAPE_615/29IN-NAVLAKHA,2020-04-14T04:44:36Z,"Human rights activist and journalist Gautam Navlakha, who plans to surrender to the National Investigation Agency (NIA) on Tuesday for his alleged involvement in the Bhima-Koregao riots of 2018, said he hoped for a speedy and fair trial for himself and other … [+4347 chars]",GENERAL
name,The Hindu,PTI,All BJP MPs to release ₹1 crore from MPLADS funds for coronavirus relief,Party president J.P. Nadda added that all party MPs and MLAs will donate their one month salary towards it as well.,https://www.thehindu.com/news/national/all-bjp-mps-to-release-1-crore-from-mplads-funds-for-coronavirus-relief/article31192768.ece,https://www.thehindu.com/news/national/veo962/article31192767.ece/ALTERNATES/LANDSCAPE_615/NADDKB,2020-03-28T12:10:02Z,"New Delhi BJP president J.P. Nadda on Saturday announced that all party MPs will release 1 crore from their annual development fund to the central relief fund to fight the COVID-19 pandemic. In his tweets, he also said that all party MPs and MLAs will donate … [+521 chars]",BUSINESS
name,The Hindu,Ramesh Susarla,MLA tests negative for COVID-19,‘Being in quarantine not a social stigma’,https://www.thehindu.com/news/national/andhra-pradesh/mla-tests-negative-for-covid-19/article31370884.ece,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,2020-04-17T18:03:24Z,"MLA Abdul Hafeez Khan Mohammed tested negative for COVID-19 on Friday. 
After the announcement of the laboratory result, Mr. Hafeez Khan, in a written appeal to the people, asked them to stop spreading rumours about the spread of the disease as it would crea… [+600 chars]",GENERAL
name,The Hindu,S. Vijay Kumar,Railways to hire medical staff on contract,Officials are bracing for rush at hospitals,https://www.thehindu.com/news/national/tamil-nadu/railways-to-hire-medical-staff-on-contract/article31201153.ece,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,2020-03-29T17:53:42Z,"The Indian Railways apprehends an enormous rush at hospitals soon and has decided to hire the services of retired paramedical staff. The Ministry of Railways has decided to hire doctors and paramedical staff on contract. 
In a note to all General Managers of… [+1199 chars]",GENERAL
name,The Hindu,PTI,USCIRF criticism of religious segregation at Ahmedabad hospital based on ‘misguided’ report: MEA,The US Commission expressed concerns over the way India is fighting the coronavirus pandemic following a media report that a government-run hospital in Ahmedabad segregated the infected patients on the basis of their religions,https://www.thehindu.com/news/national/uscirf-criticism-of-religious-segregation-at-ahmedabad-hospital-based-on-misguided-report-mea/article31351174.ece,https://www.thehindu.com/news/national/other-states/h9wadh/article31348977.ece/ALTERNATES/LANDSCAPE_615/HEALTH-CORONAVIRUSSOUTHASIA,2020-04-15T19:40:06Z,India on Wednesday came down hard on the US Commission on International Religious Freedom for its criticism of the country based on a misguided report that COVID-19 patients in a hospital in Ahmedabad were segregated on the basis of their religious identities… [+1139 chars],POLITICS
name,The Hindu,AFP,"Coronavirus | COVID-19 is 10 times more deadly than swine flu, says WHO","It said that a safe and effective vaccine would be needed to fully halt the spread of COVID-19, which has killed more than 114,000 people worldwide",https://www.thehindu.com/news/international/coronavirus-covid-19-is-10-times-more-deadly-than-swine-flu-says-who/article31333619.ece,https://www.thehindu.com/news/international/4weikr/article31333618.ece/ALTERNATES/LANDSCAPE_615/WHO,2020-04-13T16:25:19Z,"The novel coronavirus is 10 times more deadly than swine flu, also called H1N1, which caused a global pandemic in 2009, the World Health Organization (WHO) said on Monday, calling for control measures to be lifted slowly.
We know that COVID-19 spreads fast, … [+549 chars]",SCIENCE
name,The Hindu,Ramesh Susarla,"Doctors at Anantapur GGH will get PPEs, N-95 masks: Collector",Minister seeks cooperation of private healthcare professionals,https://www.thehindu.com/news/national/andhra-pradesh/doctors-at-anantapur-ggh-will-get-ppes-n-95-masks-collector/article31303075.ece,https://www.thehindu.com/news/national/andhra-pradesh/jk6gmy/article31303073.ece/ALTERNATES/LANDSCAPE_615/09an-collectgor-doctorsTHIMG,2020-04-09T17:29:19Z,"The district administration is according a top priority to the safety of doctors who are treating the suspects and COVID-9 positive patients at the Government General Hospital, Collector Gandham Chandrudu has said.
Personal Protection Equipment (PPEs) and N9… [+1647 chars]",GENERAL
name,The Hindu,Special Correspondent,Contributions to CM fund will not qualify as CSR expenditure,"It is discriminatory, says Yechury",https://www.thehindu.com/news/national/contributions-to-cm-fund-will-not-qualify-as-csr-expenditure/article31317943.ece,https://www.thehindu.com/news/national/5vhufq/article31317945.ece/ALTERNATES/LANDSCAPE_615/SitaramYechury,2020-04-11T12:23:23Z,"The Ministry of Commerce has clarified that the contributions to the Chief Ministers Relief Fund or the State relief fund will not qualify as Corporate Social Responsibility expenditure, while any donation to the PM CARES Fund will.
Also read: Congress quest… [+1737 chars]",GENERAL
name,The Hindu,Vikas Vasudeva,No move on extending curfew yet: Punjab CM,‘Call would be taken after Cabinet meeting on April 10’,https://www.thehindu.com/news/national/other-states/no-move-on-extending-curfew-yet-punjab-cm/article31293783.ece,https://www.thehindu.com/news/national/other-states/rmzhrf/article31293782.ece/ALTERNATES/LANDSCAPE_615/DE09PG4SCOLAMARINDERSINGHADDRESSINGMEDIAPERSONS,2020-04-08T19:02:19Z,"Punjab Chief Minister Amarinder Singh on Wednesday said that no decision had been taken yet on extending the curfew in the State beyond April 14 even as the State reported seven fresh cases of COVID-19.
The State government was yet to take a decision in the … [+1382 chars]",GENERAL
name,The Hindu,Shiv Sahay Singh,Calcutta HC directs police to return to doctor mobile phone seized over Facebook posts,He had put up several messages about ‘deficient’ protective gear supplied by the government,https://www.thehindu.com/news/cities/kolkata/calcutta-hc-directs-police-to-return-to-doctor-mobile-phone-seized-over-facebook-posts/article31234392.ece,https://www.thehindu.com/news/cities/kolkata/9d542x/article31234391.ece/ALTERNATES/LANDSCAPE_615/CALCUTTAHIGHCOURT,2020-04-02T07:50:51Z,"Observing that the freedom of speech and expression granted under Article 19 of the Constitution had to be scrupulously upheld by the State, the Calcutta High Court on Wednesday directed the West Bengal police to return the mobile phone and SIM card of a doct… [+1476 chars]",TECH
name,The Hindu,Special Correspondent,"Coronavirus | Semblance of activity in corridors as Ministers, bureaucrats return to offices",It points to PM Modi’s plan of staggered exit from national lockdown,https://www.thehindu.com/news/national/coronavirus-semblance-of-activity-in-corridors-as-ministers-bureaucrats-return-to-offices/article31332666.ece,https://www.thehindu.com/news/national/kz4b3m/article31332665.ece/ALTERNATES/LANDSCAPE_615/NEWS1NIRMALA,2020-04-13T14:30:30Z,"As work from home ended for Ministers in the Union Council and senior bureaucrats on Monday, some activity slowly returned to hitherto deserted corridors of power in New Delhi.
Full coverage on coronavirus
Ministers were seen at work at their Ministries don… [+1703 chars]",POLITICS
name,The Hindu,Special Correspondent,Online self-assessment test,"Neuberg Diagnostics Private Limited has launched a COVID-19 self-assessment test on its website - https://neubergdiagnostics.com/covid19-selfassessment/index.html. In this, a person needs to answer a",https://www.thehindu.com/news/cities/chennai/online-self-assessment-test/article31284317.ece,https://www.thehindu.com/static/theme/default/base/img/og-image.jpg,2020-04-07T18:28:03Z,"Neuberg Diagnostics Private Limited has launched a COVID-19 self-assessment test on its website - https://neubergdiagnostics.com/covid19-selfassessment/index.html. In this, a person needs to answer a few questions to know if he/she needs to get in touch with … [+621 chars]",TECH
